video_id,title,duration,view_count,upload_date,has_subtitles,subtitle
jOiNnSujxqk,??????????????? :: ??????????????? ????????  25 ?.?. 2568,1589,18051,,Yes,th
c1JBnlG2FtM,????????????????????????????????????????? ????????????????????? ?.?????? 23 ?????? 2568,865,8031,,Yes,th
2bYNJn8-9dA,?????????????????????????????????? :: ??????????????? ???????? 8 ?.?. 2568,4035,63983,,Yes,"th,th"
fqfPx5lvO6g,?????????????????????????? :: ?????????? ??????? (?????????) 30 ?.?. 2567,3513,3127,,Yes,th
7OZypaLK8SU,????????????????????????? :: ??????????????? ???????? 1 ?.?. 2568,4031,39219,,Yes,"th,th"
ZqyAVyf_cgQ,???????????????????????????????????????????? :: ??????????????? ???????? 2 ?.?. 2568,3807,84897,,Yes,"th,th"
2Wyf8TkRu1I,The world is like a poisonous snake :: Luangpu Pramote Pamojjo 24 Jul 2022,3927,1706,,Yes,"en-GB,th"
JBMtFNLdZSs,?????????????????????????? :: ??????????????? ???????? 1 ?.?. 2567,230,2423,,Yes,th
LNxbIlP__Ew,?????????????????????????? :: ??????????????? ?????????? 27 ?.?. 2567,3178,3680,,Yes,th
L4w391rz2k0,???????????????????????????????? :: ??????????????? ???????? 29 ?.?. 2567,1261,21036,,Yes,th
D1PwlvVzPOU,????????? :: ??????????????? ???????? 12 ?.?. 2568,230,3191,,Yes,"lo,th,th"
GU44jZilfvM,?????????????????????????? :: ??????????????? ?????????? 12 ?.?. 2568,3964,8320,,Yes,th
5lTeNm5W1zQ,10 Qualities for Dhamma Apprenticeship :: Luangpu Pramote Pamojjo 1 Oct 2023,4039,1345,,Yes,"en-GB,th,en"
01Jc0QY4x2Q,?????????? :: ??????????????? ???????? 5 ?.?. 2568,189,2662,,Yes,"lo,th,th"
9XHX8yYDqoo,???????????? 4 ??????????????? :: ??????????????? ???????? 28 ?.?. 2567,1556,28882,,Yes,th
K8AeucuFiGA,??????????????????????? :: ??????????????? ???????? 16 ?.?. 2567,1787,40997,,Yes,th
rAd84DPA0hI,Mindfulness is an essential starting point :: Luangpu Pramote Pamojjo 25 Mar 2023,3772,2274,,Yes,"en-GB,th,en"
2N_jjsVvu_E,????????????????????? :: ??????????????? ???????? 1 ?.?. 2568,3856,76650,,Yes,th
uAz_0FYR7hU,????????????????????? :: ??????????????? ?????????? 5 ?.?. 2567,3685,4449,,Yes,"th,th"
1nOak23r8UU,???????????????????????????????? :: ??????????????? ???????? 10 ?.?. 2567,1531,24154,,Yes,th
SR1C7Q-aVJc,????????????????????????????????? :: ??????????????? ???????? 21 ?.?. 2567,3720,50273,,Yes,th
duce1NCIqhw,????????? :: ??????????????? ???????? 14 ?.?. 2567,193,2524,,Yes,"lo,th,th"
jJP9Iek4aAs,Worldly Happiness is Sugar-Coated Suffering :: Luangpu Pramote Pamojjo 10 Jul 2022,3983,1744,,Yes,"en-GB,th,en"
nBOTdVObmdQ,?????????????? :: ????????????? ???????? 8 ?.?. 2567,4686,7713,,Yes,"th,th"
6tCNLi-sCys,???????????????????? :: ??????????????? ???????? 5 ?.?. 67,1705,57044,,Yes,th
g6r1YmEqyUc,??????????????????????????????? :: ??????????????? ???????? 1 ?.?. 2567,219,3404,,Yes,"th,th"
O1jdXF0EdK0,??????????????????????? :: ??????????????? ???????? 30 ?.?. 2567,194,3872,,Yes,"lo,th"
lCqgUMHHxes,?????????????????? :: ??????????????? ???????? 8 ?.?. 2567,3996,55352,,Yes,th
cJ7Ww83PjRA,???????????????????? :: ??????????????? ?????????? 28 ?.?. 2567,3601,4021,,Yes,"th,th"
kgAST5vWzZw,Nothing is better than knowing your own mind :: Luangpu Pramote Pamojjo 2 Jul 2022,3848,1890,,Yes,"en-GB,th"
S6-0mqqmpa4,???????????? :: ????????????? ???????? 28 ?.?. 2567,6661,5678,,Yes,"th,th"
4l89kYg1H8c,?????????????????????????? :: ??????????????? ???????? 24 ?.?. 2567,3834,85634,,Yes,th
zLtrByuYXF0,???????? :: ??????????????? ???????? 17 ?.?. 2567,184,3333,,Yes,"th,th"
QPZn4oPkkLw,?????????? :: ??????????????? ???????? 25 ?.?. 2567,216,2756,,Yes,th
Z8HTDWHOueE,??????????????????????????????? :: ?????????? ??????? (?????????) 27 ?.?. 2567,1923,4822,,Yes,"th,th"
sOEBOq1g5Pg,"The World is Chaotic, but We can Be at Peace :: Luangpu Pramote Pamojjo 11 Jun 2022",3803,1869,,Yes,"en-GB,th"
zPphO9-bLKE,?????????? :: ??????????????? ?????????? 26 ?.?. 2567,3824,4789,,Yes,"th,th"
_4XRqBwKyII,???????????????????? :: ??????????????? ???????? 16 ?.?. 2567,2715,75534,,Yes,th
Mcb1P8KC6j8,???????????????????????? :: ????????????? ???????? 25 ?.?. 2567,6318,5572,,Yes,"th,th"
wLEk3fcM8U8,??????????????????? :: ?????????? ??????? (?????????) 3 ?.?. 2567,3042,4514,,Yes,th
kOcU0usEGNs,????????????????????????????? :: ??????????????? ???????? 17 ?.?. 2567,1614,32591,,Yes,th
qhwJXgGgm38,02/11/2024 ?????????? (Wrong Concentration),3755,73405,,Yes,"en,th"
u_aiOf50e9o,The mind that is free from attachments (Upadanakkhanda) :: Luangpu Pramote Pamojjo 14 May 2022,3298,1468,,Yes,"en-GB,th"
